hotel_name,reviewer,helpful_votes,date,text,month,year,extracted_date_str,extracted_date,year_int,sentiment_score
Villas Barrocal,S B,0,S Bwrote a review Mar 2022,Lovely part of the algarve.  Old and new.  Everything is a short drive away. Close to the best beach In the algarve in my opinion. Very tranquil.  Good tennis courts.  Great pool.  Lovely staff.  Very cheap for long stay.   OutstAnding level of interior for the price.  The top floor accommodation with car bay parking is really fantastic for the money.  What a place. For the value factor I can’t rate this place enough !! I’ve returned around 6 times.  Thumbs up guys !,Mar,2022,Mar 2022,2022-03-01,2022,4
Saccharum,Martina B,57,Martina Bwrote a review Jan 2017,"We had absolutely prefect stay in the hotel. We had a room with a sea view, the room was very nice, large and comfortable, with modern design. The breakfast and dinner served in the hotel restaurant were delicious. The pool on the roof is fantastic. Hotel staff is friendly and very helpful. We spent a great week in the sun. Would love to come back again.",Jan,2017,Jan 2017,2017-01-01,2017,5
Jupiter Albufeira Hotel - Family & Fun,stevenmccarthy2024,0,stevenmccarthy2024wrote a review Jun 2024,"Pools are great, staff are better and food was very good for all inc. would definitely return here and recommend.",Jun,2024,Jun 2024,2024-06-01,2024,5
Vila Gale Nep Kids,Trek09334429193,0,Trek09334429193wrote a review Dec 2023,"It was a super pleasant family stay in every aspect!!! The children's program is very well organized! Mine loved everything!!The entire staff is super friendly, available and attentive!An experience to repeat again.",Dec,2023,Dec 2023,2023-12-01,2023,5
Jupiter Albufeira Hotel - Family & Fun,spalmer992024,0,spalmer992024wrote a review Sep 2024,Well worth a visit  friendlyvery clean  nice locationoffers a lot  honestly could not fault it will return,Sep,2024,Sep 2024,2024-09-01,2024,4
Jupiter Albufeira Hotel - Family & Fun,amina198,17,amina198wrote a review May 2023,"An absolutely beautiful family hotel, with activities for the kids to do all day and evening entertainment.Nitto and the entertainment team were fantastic and non-stop.Lots of sports and games throughout the day.Onsite aquamarine, AstroTurf football-basketball, onsite tennis, outdoor pool with swim up bar, although it was cold but cooled down once bathing in the sun. Also another larger pool on the quiet side of the hotel and a pool with kids slides.Indoor facilities - well equipped gym, spa, sauna, steam room, jacuzzi all are charged to use.A La Carte resturants were lovely: Rodizio Grill, Italian, main Resturant buffet was amazing, plenty of food, salads, fruits, deserts, kids section and all day outdoor pizza, pasta.The outdoors buffet resturant was lovely its a bar snack with unlimited crisps, icecream, sandwiches, pastas, drinks machines, fresh juice, the usual coke, sprite, Fanta. The bar staff make mocktails which were lovely.A great terrace roof bar in the evenings.The rooms are well equipped with blow dryer, fridge, AC, it was a double bed which came apart into two single beds, with a 1.5 sofa bed.Safe is in the room also (no charge).Towels provided for the rooms, towels provided for the pool side.Multiple TVs in the lobby and there is a small games room for teens, kids.A shop onsite selling usual snacks, floats etc.A great hotel. Had a great week there 7 nights with two sisters.There is a shuttle bus to take you to town and beach, we never used it as it ran 1 time an hour. It was full with families and kids. We did walk to the beach 45mins and also to the harbour we took a taxi, we also walked to bar street exit and walk to your right, its about 10mins walk.There is a nice supermarket 10mins walk too. Lovely fresh local produce or souvenirs.We did a few trips into the old town and new town, a church to see, few monuments and we went to the marina. We did parasailing which was amazing at 70m up in the sky to see the coast and beyond.We also did a boat trip same day to the benagil Caves and a half day down the coast. Dipped in the sea and back out within 3mins as it was beyond freezing but loved every minute of it.",May,2023,May 2023,2023-05-01,2023,5
Mayer Apartments,bill durning,63,bill durningwrote a review Jul 2018,"Small beach front apartment block of apartments of varying sizes. Has pool and snack bar available. Well run and orderly. Has wifi( at a small charge per item,) which works in the apartment and at the poolside. Jan and Adrian are the husband and wife team who have run this holiday home for 25+ years and are most pleasant and anxious to ensure your holiday is successful. Nothing is too much trouble. A 3* which is fairly rated and priced accordingly. My GF self catering studio apartment was clean and basic and  had all we needed. Luz itself was sedate with ample eateries and a most excellent beach --albeit with a freezing Atlantic. We have been before and will  go again to join the many returning guests. Recommended for a quite week relaxing. Be aware that being on the beach and road there is some traffic noise as the resort wakes up each day but nothing too bothersome. Never heard a disco but music could be heard from the adjacent cafe/bar but not into the early hours or anything silly!",Jul,2018,Jul 2018,2018-07-01,2018,3
Jupiter Albufeira Hotel - Family & Fun,ninaf62022,0,ninaf62022wrote a review Jun 2022,"Hotel was perfect for families and young children , rooms were very clean and modern , staff very friendly but only a few spoke English .Buffet was good for cold salads , fruit and desert but hot choices were not hot Luke warm …Restaurant was very clean and lots of staff on hand , Asian sushi night was the best .Portuguese restaurant was poor one choice of starter , 2 mains which were served with a bowl of crisps ….. shame as decor was lovely and I was expecting it to be a lot better .Booked with jet 2 excellent smooth service and always a rep in hotel each morning ,Booked the zoo marina water park with package for 3 days … very disappointed… only went once as only 3 water slides , 15 euros for a sunlounger … ques for 45 mins to get a cold drink and staff were not very helpful … kids enjoyed the slides at hotel more so would not advise to book 3 day pass … long day and coach doesn’t leave till 6pm ….Would recommend hotel for families , very safe and clean and lots of children",Jun,2022,Jun 2022,2022-06-01,2022,2
PortoBay Serra Golf,Sandra M,1,Sandra Mwrote a review Oct 2013,"This is a small hotel of considerable character and has a lovely atmosphere.  It is very quiet and peaceful with lovely gardens.  It offers excellent service and superb food.  Every area of the hotel was spotlessly clean.  The staff are extremely helpful and friendly.  The hotel is very close to the golf course, but apart from this there is nothing much of interest in Santo Da Serra, and a car is essential.  We were very glad to be in this hotel,  rather than in the busy city of Funchal.",Oct,2013,Oct 2013,2013-10-01,2013,4
Casas do Porto - Ribeira Apartments,tmoran2016,0,tmoran2016wrote a review Aug 2016,"Excellent value.  Rented a 2 bedroom apartment while attending a conference at the Centro de Congressos da Alfândega do Porto.  The apartment was conveniently located to both the conference center and the waterfront.  Very nicely furnished with plenty of space.  The breakfast option is recommended as the refrigerator is stocked and fresh bread delivered in the morning - more food than I could possibly consume.  Friendly management with excellent suggestions for restaurants, tours etc.  I would definitely stay there again.",Aug,2016,Aug 2016,2016-08-01,2016,5
Grand Muthu Forte Do Vale,lion34,81,lion34wrote a review Oct 2016,"We visited as a family, 3 generations, as Infinfti members. I didn't feel the facilities in the apartments were as good as some of the other properties we have visited. We ended up eating out every evening, but I think cooking dinner would have been tricky in the small kitchen. There is no oven, just a microwave with grill function that is above head height, and a hob. Using the sink you feel as if you are going to bump your head on cabinets. There were various small issues that required a call to housekeeping, e.g no tea towels, bath towels removed during housekeeping but not being replaced, that were rectified quickly, but became annoying. I found the apartments clean, and the housekeepers were flexible around cleaning if you were not ready to leave the room. The beds were comfy. Our apartment was very nicely furnished; my parents' apartment was more basic.The pool was good but the same depth throughout with no shallow entry point. Unfortunately this put my 5 year old off. There was a toddler pool, but this was too shallow for swimming. The pool bar wasn't always open and drinks were expensive. There was nowhere to but a hot drink e.g. coffee. We didn't use the restaurant, it seemed to cater more for the all inclusive guests.The hotel is well situated; you can walk to 2 beaches, the strip and into Albufeira. We enjoyed our holiday but i wouldn't return.",Oct,2016,Oct 2016,2016-10-01,2016,2
Lisbon Destination Hostel,Alice F,0,Alice Fwrote a review Aug 2025,"I chose the Lisbon Destination hostel for my trip to Lisbon and couldn’t make a better choice. The bed is very comfortable and has curtains to maintain privacy; there is a bathroom inside the room and a common one very large and always clean; the staff is helpful and they are all very nice and kind (joao and jota!!) The location is great because it is central just minutes from the center. Here you can breathe a beautiful atmosphere, it really feels like family. Almost every day the hostel also offers activities such as excursions or parties that you can attend for a small fee. I recommend this hostel to everyone, hope to return soon!",Aug,2025,Aug 2025,2025-08-01,2025,5
Hotel Madeira,morleyterrier,253,morleyterrierwrote a review Apr 2023,"The Madeira is in a great location in the city centre of Funchal. It is just 2 blocks from the marina, next door to the beautiful municipal gardens and with plenty of shops and restaurants within a 10 minute walk.The rooftop pool area was great for a relaxing day and there were always sun beds available. As the only bar in the hotel, it would have been better if it stayed open later than 22.00Our room had a balcony over looking the street - great for people watching. The room was a decent size but a bit narrow around the door and entrance to the ensuite. The beds were comfortable and the shower strong and hot. The only downside was the lack of a fridge.Continental breakfast was a selection of fruits, cold meats and cheese, cereals and yoghurts. Bread rolls and croissants were excellent.Hot options were limited - scrambled eggs everyday along with a rotating selection of beans/bacon/sausage/mushrooms/tomatoes.The coffee from a machine was lovely and strong.The receptionists were friendly and helpful.We would definitely return.",Apr,2023,Apr 2023,2023-04-01,2023,4
Grand Muthu Forte Do Vale,Richard D,39,Richard Dwrote a review Jul 2017,"Although our apartment, 116 was as good as we expected with a balcony with a table and chairs, good air conditioning and well furnished, my wife was not able to access the outside pool due to having a knee disability. There were no steps into the pool but vertical steels ladders and no other aids. The inside pool did have steps but there was a substantial extra charge to use this facility.We had half board and the food was of good quality but invariably luke warm. However the service was good and friendly, very attentive and helpful, as was the other hotel staff.",Jul,2017,Jul 2017,2017-07-01,2017,4
Hotel Madeira,SvetaPiterbest,30,SvetaPiterbestwrote a review Feb 2023,Great cozy hotel and stunning rooftop barWent with a large and noisy international company… enjoyed the view from the rooftop and the wonderful BBQ in the restaurant.  The management was amazing and offered live music in every possible way… GREAT gala dinner thank you 🙏,Feb,2023,Feb 2023,2023-02-01,2023,5
Quinta Nova Winery House - Relais & Châteaux,Stacey R,106,Stacey Rwrote a review Jul 2014,"WOW! This was an utterly fantastic vineyard hotel.  Highly recommended for a luxurious, relaxed break away from the world.  A fabulous infinity pool overlooks the most spectacular views of the stunning valley.  The rooms are wonderful - very clean, classy, and well equipped.  Wifi is a bit weak.It is more of a hotel than a vineyard, so probably not for real wine buffs as the education about wine is not particularly high level (we were informed that red wine is best with meat, and white wine best with fish...!)  The winery tour was short but interesting.  You have to pay for wine tastings even if you are a hotel guest which was unexpected (although each \"tasting\" is a full glass!)We weren't there long enough to try out any of the walking trails but they looked beautiful.  The previous posts are entirely right about the rather scary drive up to the vineyard - it took us about half an hour to cover less than 10km! But it's worth it when you get there.The dinner (a set 3 course menu which changes daily) was excellent value at €38.  Be careful though - they serve you \"matching wines\" and then just price by the glass (but you have no control over how expensive a wine they serve you!!).  Lunch was NOT good value -  €18 for the smallest smoked salmon salad I have ever seen, albeit a very delicious one.Highly recommended",Jul,2014,Jul 2014,2014-07-01,2014,5
Pestana Vila Lido,John M,0,John Mwrote a review Nov 2023,"Hotel with excellent location, great facilities and one of the best breakfasts I've ever tried.Comfortable room with pleasant decorAttentive, friendly and helpful staff.Overall 5*",Nov,2023,Nov 2023,2023-11-01,2023,5
